package	repo	files	license	binary_rpm	source_rpm
cups-libs-1.6.3-51.el7.x86_64	centos-os	5	LGPLv2 and zlib	https://vault.centos.org/7.9.2009/os/x86_64/Packages/cups-libs-1.6.3-51.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/cups-1.6.3-51.el7.src.rpm
curl-7.29.0-59.el7_9.1.x86_64	centos-updates	1	MIT	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/curl-7.29.0-59.el7_9.1.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/curl-7.29.0-59.el7_9.1.src.rpm
cyrus-sasl-lib-2.1.26-24.el7_9.x86_64	centos-updates	5	BSD with advertising	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/cyrus-sasl-lib-2.1.26-24.el7_9.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/cyrus-sasl-2.1.26-24.el7_9.src.rpm
dbus-1.10.24-15.el7.x86_64	centos-os	8	(GPLv2+ or AFL) and GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dbus-1.10.24-15.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dbus-1.10.24-15.el7.src.rpm
dbus-glib-0.100-7.el7.x86_64	centos-os	2	AFL and GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dbus-glib-0.100-7.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dbus-glib-0.100-7.el7.src.rpm
dbus-libs-1.10.24-15.el7.x86_64	centos-os	1	(GPLv2+ or AFL) and GPLv2+	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dbus-libs-1.10.24-15.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dbus-1.10.24-15.el7.src.rpm
dbus-python-1.1.1-9.el7.x86_64	centos-os	2	MIT	https://vault.centos.org/7.9.2009/os/x86_64/Packages/dbus-python-1.1.1-9.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/dbus-python-1.1.1-9.el7.src.rpm
device-mapper-1.02.170-6.el7_9.5.x86_64	centos-updates	2	GPLv2	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/device-mapper-1.02.170-6.el7_9.5.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/lvm2-2.02.187-6.el7_9.5.src.rpm
device-mapper-libs-1.02.170-6.el7_9.5.x86_64	centos-updates	1	LGPLv2	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/device-mapper-libs-1.02.170-6.el7_9.5.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/lvm2-2.02.187-6.el7_9.5.src.rpm
dhclient-4.2.5-83.el7.centos.1.x86_64	centos-updates	1	ISC	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/dhclient-4.2.5-83.el7.centos.1.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/dhcp-4.2.5-83.el7.centos.1.src.rpm
dhcp-libs-4.2.5-83.el7.centos.1.x86_64	centos-updates	2	ISC	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/dhcp-libs-4.2.5-83.el7.centos.1.x86_64.rpm	https://vault.centos.org/7.9.2009/updates/Source/SPackages/dhcp-4.2.5-83.el7.centos.1.src.rpm
diffstat-1.57-4.el7.x86_64	centos-os	1	MIT	https://vault.centos.org/7.9.2009/os/x86_64/Packages/diffstat-1.57-4.el7.x86_64.rpm	https://vault.centos.org/7.9.2009/os/Source/SPackages/diffstat-1.57-4.el7.src.rpm
