#ALL signatures (already manually excluded two that causes false positives, see data/clamav/new_src/README (SMALLER SET - only 50 rules)
Win.Trojan.Cheprobnk-1;Engine:51-255,FileSize:5925376-5987840,Target:1;0;ff3424585389e381c30400000081c304000000871c245c68e47600008904248b1c2481c40400000068bc580000892c24bd0100000001e85d52ba00001e002d445111722d19198e0629d00519198e0605445111725a2d2d004c0b0500004c0b803bcc0f858a00000050b800000000058a409f5e2d131a9d5501d805131a9d552d8a409f5ec6000058bb5f61720381eb3732b62556beca206e7546d1ee53bb1101e15929de5b81c67a4cd34e31f35ec1e30881c3002a8bea684f414153683cac4709
Win.Trojan.Cheprobnk-2;Engine:51-255,FileSize:5925376-5987840,Target:1;0;6872550000892c245089242453bb04000000015c24045b5d56890c24892c2489042468f6580000891c2481ec04000000891c24890c2468277d000089342451b90800000001e950b80000000001c88b308b042483c404595253bb0c00000089da5b81eac619880a01ea81c2c619880a8b0a5ac1e90253bb1000000001eb51b90000000001d98b01598b1c2481c4040000005250b8c04e4e7235d44e4e72505a5801ea8b1a5a85c90f84900000005256becf2eca23c1e60781f64b11072f81eecb7610ca89f25e
Win.Downloader.Boltolog-223;Engine:51-255,Target:1;(0|1|2|3|4)&(5|6);4b413230313331323138;4b423230313430313138;4b433230313430313138;4b433230313331323138;4b423230313331323138;45583230313430313138;45583230313331323138
Win.Downloader.Lpdsuite-1;Engine:73-255,Target:1;0&1;4100750074006F0049007400;B5DEA0FBE9CC9EA8EFB5E8F9D8FEB44DFA6B60116708A8A63C789961660017F87415F291C2A37B3B28E54DE3C4F75317A01431F93BA077F4B28BB95F663DFAF3
Html.Exploit.CVE_2015_1744-2;Engine:51-255,Target:3;0&1&2&3;69653d39;66697273742d6c{-100}6261636b67726f756e642d636f6c6f72;6478696d6167657472616e73666f726d2e6d6963726f736f66742e;66696c74657273{-100}2e6170706c79
Html.Exploit.CVE_2015_2383-1;Engine:55-255,Target:3;(0|1)&2&3;3c6d65746120687474702d65717569763d22782d75612d636f6d70617469626c652220636f6e74656e743d2269653d39223e;3c6d65746120687474702d65717569763d22782d75612d636f6d70617469626c652220636f6e74656e743d2269653d3130223e;2e637265617465656c656d656e74{-25}62617365{-100}2e6170706c79656c656d656e74{-50}696e73696465;2e63726561746572616e6765{-35}2e73656c6563746e6f6465{-35}2e696e736572746e6f6465
Html.Exploit.CVE_2015_2383-2;Engine:55-255,Target:3;0&1&2;2e617070656e646368696c64{-100}2e7265706c6163656e6f6465{-100}2e6c6f636174696f6e2e72656c6f6164;2e6164646576656e746c697374656e6572{-30}646f6d617474726d6f646966696564;3c62617365
Win.Downloader.Cigamve-1;Engine:73-255,Target:1;0&1&2;6D00610067006900630035003500350035002E0074006D007000;8b06a3{4}8b4e04890d{4}8b56088915{4}8b460c;8b860c0100008b483c8b4c0128{-3}03c850ffd1
Win.Trojan.Ralminey-1;Engine:73-255,Target:1;0&1&2;7376686F73742E65786500;8b?d{4}69??0c0100008b?5{4}81bc??0c0100005544221175;8d?5??5?b8{4}ffd0
Osx.Exploit.Dyldprinttofile-1;Engine:53-255,Target:9;0&1;6563686f2022242877686f616d692920414c4c3d28414c4c29204e4f5041535357443a414c4c22203e263327207c2044594c445f5052494e545f544f5f46494c453d2f6574632f7375646f657273206e65776772703b207375646f202d73;61634f532f5653496e7374616c6c6572202d2d6167726565746f6c6963656e7365202626
Win.Trojan.Agent-1388653;Engine:54-255,Target:1;0&1&2&3&4&5&6;5468652070726f63656475726520656e74727920706f696e7420257320636f756c64206e6f74206265206c6f636174656420696e207468652064796e616d6963206c696e6b206c696272617279202573;490057005f004700460058005f00440042004e00410056005f0050004f0053005400440049005300410042004c0045004400;202020206e616d653d22436f646547656172205241442053747564696f22;490057005f004700460058005f00440042004e00410056005f005000520049004f005200440049005300410042004c0045004400;490057005f004700460058005f00440042004e00410056005f005200450046005200450053004800440049005300410042004c0045004400;2020202076657273696f6e3d2231342e302e333631352e32363334322220;490057005f004700460058005f00440042004e00410056005f0049004e005300450052005400440049005300410042004c0045004400
Win.Trojan.Agent-1388654;Engine:54-255,Target:1;0&1&2&3&4&5&6&7&8;440042004e005f004e00450058005400;4c4f41444552204552524f52;490057005f00440054005f00440042004e00410056005f0049004e005300450052005400;6e657461706933322e646c6c;490057005f004700460058005f00530042005f005600550050003200;546865206f7264696e616c20257520636f756c64206e6f74206265206c6f636174656420696e207468652064796e616d6963206c696e6b206c696272617279202573;490057005f004700460058005f0043004f004f004c0043004800450043004b0042004f0058005f00460041004c0053004500;490057005f004a0053005f00500052004f0054004f005400590050004500;490057005f004a0053005f004900570043004800410052005400
Win.Worm.Allaple-221772;Engine:54-255,Target:1;0&1&2&3&4&5&6;534f4654574152455c4d6963726f736f66745c57696e646f7773204e545c43757272656e7456657273696f6e5c496d6167652046696c6520457865637574696f6e204f7074696f6e73;534f4654574152455c4d6963726f736f66745c57696e646f7773204e545c43757272656e7456657273696f6e5c537663686f7374;557365722d4167656e743a204d6f7a696c6c612f342e30;433a5c50726f6772616d2046696c65735c57696e5241525c5261722e657865;5c5c2e5c706970655c39364442413234392d453838452d346334372d393844432d453138453645334533453541;7777772e332d304236462d343135642d423543372d38333246302e636f6d;2553797374656d526f6f74255c53797374656d33325c737663682573202d6b206e657473
Win.Worm.Allaple-221773;Engine:54-255,Target:1;0&1&2&3&4&5&6&7&8&9&10;5046733d36294d57;487474705175657279496e666f41;496e7465726e65744f70656e41;57696e646f7773557064617465;5f6578636570745f68616e646c657233;574e657443616e63656c436f6e6e656374696f6e3241;3841384738503865387538;4d657373656e676572;73413357244f583568;4765744d6f64756c65496e666f726d6174696f6e;496e7465726e6574436c6f736548616e646c65
Win.Worm.Allaple-221774;Engine:54-255,Target:1;0&1&2&3&4&5;534f4654574152455c4d6963726f736f66745c57696e646f7773204e545c43757272656e7456657273696f6e5c496d6167652046696c6520457865637574696f6e204f7074696f6e73;534f4654574152455c4d6963726f736f66745c57696e646f7773204e545c43757272656e7456657273696f6e5c537663686f7374;557365722d4167656e743a204d6f7a696c6c612f342e30;433a5c50726f6772616d2046696c65735c57696e5241525c5261722e657865;5c5c2e5c706970655c39364442413234392d453838452d346334372d393844432d453138453645334533453541;7777772e332d304236462d343135642d423543372d38333246302e636f6d
Win.Worm.Allaple-221775;Engine:54-255,Target:1;0&1&2&3&4&5&6;257325642e657865;5046733d36294d57;687474703a2f2f25732f2573;2553797374656d526f6f74255c53797374656d33325c737663682573202d6b206e657473;7a64645f61504f33;626f6f7465722e657865;322f333e334b33503356335b336133663374337933
Win.Worm.Allaple-221776;Engine:54-255,Target:1;0&1&2&3&4&5&6&7&8&9&10&11;5046733d36294d57;3049614031396140;6f61745122465830582d;314632573262327032;25303c3042305a30;3d203e2d3e653e6a3e773e;436f6d6d6f6e2046696c6573;4163636570742d6c616e67756167653a20636e;7a64645f61504f33;6d6963726f736f66742066726f6e7470616765;3d353d483d5d3d643d793d;257325642e747874
Html.Exploit.CVE_2018_0838-6440673-0;Engine:81-255,Target:3;0;2E70726F746F747970653D6172723B6F707428617272293B7072696E7428617272293B::i
